country,population,medals,likes,plays,levels,rankScore
Argentina,44271040,248,4269,31644,36,0.817622536
Australia,24598930,24662,211581,1680442,4610,78.10482001
Austria,8809210,5064,90010,645959,653,84.19438292
Barbados,285720,4,19,153,1,0.61948761
Belgium,11372070,7111,127040,847718,594,86.39262685
Bermuda,65440,6,90,1026,3,17.19132029
Brazil,209288280,4508,37102,271726,594,1.499988437
Canada,36708080,36224,758253,5354489,4478,167.6318674
Chile,18054730,991,13029,83943,140,5.433645366
Colombia,49065610,21,309,2749,9,0.062936138
Costa Rica,4905770,171,1702,12402,19,2.913711813
Czech Republic,10591320,11,293,2865,4,0.299584943
Denmark,5769600,1778,25963,168928,201,34.12194953
Ecuador,16624860,12,137,1163,4,0.079158561
Estonia,1315480,15,123,966,2,0.840757746
Finland,5511300,6428,81165,880883,847,175.8791937
France,67118650,36292,1204187,9490433,3798,159.9363217
Germany,82695000,41890,1339254,9402515,4713,130.459786
Greece,10760420,189,2238,16800,31,1.789707093
Guatemala,16913500,169,1619,9678,28,0.679575487
Honduras,9265070,3,23,122,1,0.016081908
Hungary,9781130,2,23,229,1,0.026070607
Ireland,4813610,2265,22516,167337,304,39.9745721
Italy,60551420,6597,231962,1891949,855,35.19922406
Japan,126785800,338270,12693684,125035327,23993,1089.169875
Luxembourg,599450,345,13195,85586,35,165.4199683
Malta,465290,4,85,470,1,1.203550474
Mexico,129163280,5734,96676,735502,814,6.493532837
Netherlands,17132850,12115,217265,1555224,1515,104.2511316
New Zealand,4793900,985,8552,67025,199,16.01222387
Norway,5282220,2248,76361,525657,330,114.4586935
Panama,4098590,36,332,2292,6,0.6504676
Peru,32165490,712,6176,40434,84,1.473815571
Poland,37975840,761,8295,58234,108,1.774759953
Portugal,10293720,1166,22024,173513,138,19.12243582
Romania,19586540,2,4,60,1,0.003420716
Slovenia,2066750,147,904,9353,21,5.044151446
South Africa,56717160,39,264,3342,25,0.064707048
Spain,46572030,16747,621522,4814430,1775,117.1190949
Sweden,10067740,8875,93778,679637,1281,77.82988039
Switzerland,8466020,8214,258693,1737545,731,236.850728
Trinidad and Tobago,1369130,10,69,640,3,0.527342181
United Kingdom,66022270,36778,1324156,10813591,3584,184.4545636
United States,325719180,203422,6326386,51723490,23603,178.9176216
Uruguay,3456750,3,62,485,1,0.159398279
