name	value
Super Mario Bros. 	1985
Super Mario Bros.  The Lost Levels	1986
Super Mario Bros. 2	1988
Super Mario Land	1989
Super Mario Bros. 3	1990
Super Mario World	1991
Super Mario Land  6 Gold Coins	1992
Super Mario 64	1994
Super Mario Sunshine	2002
New Super Mario Bros.	2006
Super Mario Galaxy	2007
New Super Mario Bros.Wii	2009
Super Mario Galaxy 2	2010
Super Mario 3D Land	2012
New Super Mario Bros. 2	2012
Super Mario 3D World	2013
Super Mario Maker	2015
Super Mario Run	2016
Super Mario Odyssey 	2017
Super Mario Mario Bros. U Deluxe	2019
