,Country,Population,Consumer_price_index,Code
1,Afghanistan,35530080,111.2,AFG
2,Albania,2873460,105.2,ALB
3,Algeria,42008054,215.3,DZA
4,Angola,55679,227.21,AGO
5,Argentina,44271040,165.24,ARG
6,Armenia,2930450,125.32,ARM
7,Aruba,105260,122.14,ABW
8,Australia,8809210,113.5,AUS
9,Austria,44688864,105.7,AUT
10,Azerbaijan,2934152,155.15,AZE
11,Bahamas,105670,106.93,NA
12,Bahrain,24772247,131.5,BHR
13,Bangladesh,8751820,257.62,BGD
14,Barbados,285720,185.1,BRB
15,Belarus,399285,6509479631,BLR
16,Belgium,11372070,108.31,BEL
17,Belize,166368149,105.4,BLZ
18,Benin,286388,113,BEN
19,Bermuda,65440,104.9,BMU
20,Bhutan,11498519,136.2,BTN
21,Bolivia,382444,101.58,BOL
22,Bosnia and Herzegovina,11485674,100.4,BIH
23,Botswana,61070,106.2,BWA
24,Brazil,209288280,5080.83,BRA
25,Brunei,11215674,99.5,BRN
26,Bulgaria,3503554,6859.03,BGR
27,Burkina Faso,2333201,110.2,BFA
28,Burundi,210867954,109.1,BDI
29,Cambodia,31719,174.2,KHM
30,Cameroon,434076,111.8,CMR
31,Canada,36708080,133.7,CAN
32,Cape Verde,19751651,120.7,NA
33,Cayman Islands,11216450,105.2,CYM
34,Chad,16245729,107.4,TCD
35,Chile,18054730,119.14,CHL
36,China,36953765,102.5,CHN
37,Colombia,49065610,142.67,COL
38,Costa Rica,4905770,103.48,CRI
39,Croatia,4737423,101.9,HRV
40,Cyprus,15353184,102.29,CYP
41,Czech Republic,10591320,105.6,CZE
42,Denmark,5769600,102.4,DNK
43,Dominican Republic,49464683,130.09,DOM
44,East Timor,832347,106.5,NA
45,Ecuador,16624860,105.5,ECU
46,Egypt,4953199,293.8,EGY
47,El Salvador,4164783,112.76,SLV
48,Estonia,1315480,212.07,EST
49,Ethiopia,161577,196.5,ETH
50,Euro Area,1189085,104.25,NA
51,European Union,10625250,104.58,NA
52,Faroe Islands,5754356,119.9,FRO
53,Fiji,971408,122.9,FJI
54,Finland,5511300,102.6,FIN
55,France,67118650,103.67,FRA
